,Network,User,Date,Text,Positive,Neutral,Negative,Compound
81,@CNN,Concerned Human Being,Mon Sep 03 16:34:03 +0000 2018,"RT @AynRandPaulRyan: Good news! @CNN has moved 11 seats toward these Democrats:

#CA45 @katieporteroc 
#CA50 @ACampaNajjar
#IA04 @Scholten4…",0.158,0.842,0.0,0.4926
82,@CNN,MyChicago60620,Mon Sep 03 16:34:03 +0000 2018,@realDonaldTrump does exactly what Putin does #LIE I guess Putin advice him to lie doing their closed meeting. @FoxNews @CNN @MSNBC,0.0,1.0,0.0,0.0
83,@CNN,Anthea Bitcon,Mon Sep 03 16:33:59 +0000 2018,RT @amytiernan: .@LauraHintonPwC on @CNN discussing how our new flexible talent network will help us attract talented people who might prev…,0.452,0.548,0.0,0.9042
84,@CNN,Hasanur Rahman 🇧🇩,Mon Sep 03 16:33:59 +0000 2018,@haidersuman @Wasim_Iftekhar @BBCWorld @nytimesworld @Telegraph @guardian @GuardianAus @AFP @AP @CNN @BBCWorld… https://t.co/UcP2g0PIRd,0.0,1.0,0.0,0.0
85,@CNN,Mark Hertling,Mon Sep 03 16:33:59 +0000 2018,On @cnn again at 1330 with the great @jimsciutto to discuss Afghanistan.,0.272,0.728,0.0,0.6249
86,@CNN,Tammy Roberts,Mon Sep 03 16:33:58 +0000 2018,RT @CNN: Two gay women have been caned in Malaysia amid a worsening climate for LGBT individuals in the Muslim-majority Southeast Asian nat…,0.0,0.875,0.125,-0.4588
87,@CNN,Wake Up America!🗽,Mon Sep 03 16:33:58 +0000 2018,"RT @CNN: The Trump administration will hold back more than 100,000 pages of documents related to Supreme Court nominee Brett Kavanaugh's se…",0.146,0.854,0.0,0.5574
88,@CNN,Josh Kezer,Mon Sep 03 16:33:58 +0000 2018,_ @EFMoriarty @CBSNews @FoxNews @CNN @NBCNews @ABC @ABC17News @washingtonpost @nytimes @USATODAY @ZaraABC @KRCG13… https://t.co/qBIioPRVSe,0.0,1.0,0.0,0.0
89,@CNN,Tigershark,Mon Sep 03 16:33:56 +0000 2018,@CNN All the CNN BULLS**T,0.0,1.0,0.0,0.0
90,@CNN,Kim Campbell,Mon Sep 03 16:33:56 +0000 2018,"RT @CNN: Sheriff's deputies shot a man who opened fire outside an Ice Cube concert venue after being told the show was sold out, according…",0.0,0.906,0.094,-0.34
91,@CNN,UAlbertans4,Mon Sep 03 16:33:55 +0000 2018,@LouKnodis @CNNPolitics @CNN @MalcolmNance @AC360 @hardball @HardballChris @maddow @TheLastWord @CillizzaCNN… https://t.co/hb6pK3kqAD,0.0,1.0,0.0,0.0
92,@CNN,Michael Phillips,Mon Sep 03 16:33:54 +0000 2018,@bpag7102 @bigtool031 @realjimBobCoot @CNN Did I say he hated them? No. I said he doesn’t support them. Holding up… https://t.co/wMRw0HyLlo,0.112,0.622,0.266,-0.5719
